"id","time","identifier","ancillaryData","state","requester","proposer","disputer","settlementRecipient","currency","bond","reward","finalFee","proposedPrice","settlementPrice"
"YES_OR_NO_QUERY-1754264317-0x713a7469746c653a6574685f313735343236343331332c6465736372697074696f6e3a6574685f313735343236343331332c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","1754264317","YES_OR_NO_QUERY","0x713a7469746c653a6574685f313735343236343331332c6465736372697074696f6e3a6574685f313735343236343331332c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","Settled","0x884c9cd1657a317967efc86336e0068473467ad8","0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757",,"0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757","0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","500000","0","250000000","1000000000000000000","1000000000000000000"
"YES_OR_NO_QUERY-1754299873-0x713a7469746c653a4a65726f6d655f506f77656c6c5f313735343239393835383333322d3434312c6465736372697074696f6e3a4a65726f6d655f506f77656c6c5f313735343239393835383333322d3434312c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","1754299873","YES_OR_NO_QUERY","0x713a7469746c653a4a65726f6d655f506f77656c6c5f313735343239393835383333322d3434312c6465736372697074696f6e3a4a65726f6d655f506f77656c6c5f313735343239393835383333322d3434312c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","Requested","0x884c9cd1657a317967efc86336e0068473467ad8",,,,"0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","500000","0","250000000",,
"YES_OR_NO_QUERY-1754350695-0x713a7469746c653a6574685f313735343335303639322c6465736372697074696f6e3a6574685f313735343335303639322c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","1754350695","YES_OR_NO_QUERY","0x713a7469746c653a6574685f313735343335303639322c6465736372697074696f6e3a6574685f313735343335303639322c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","Settled","0x884c9cd1657a317967efc86336e0068473467ad8","0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757",,"0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757","0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","500000","0","250000000","0","0"
"YES_OR_NO_QUERY-1754352209-0x713a7469746c653a6274635f313735343335323230352c6465736372697074696f6e3a6274635f313735343335323230352c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","1754352209","YES_OR_NO_QUERY","0x713a7469746c653a6274635f313735343335323230352c6465736372697074696f6e3a6274635f313735343335323230352c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","Requested","0x884c9cd1657a317967efc86336e0068473467ad8",,,,"0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","500000","0","250000000",,
"YES_OR_NO_QUERY-1754439367-0x713a7469746c653a6274635f313735343433393336332c6465736372697074696f6e3a6274635f313735343433393336332c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","1754439367","YES_OR_NO_QUERY","0x713a7469746c653a6274635f313735343433393336332c6465736372697074696f6e3a6274635f313735343433393336332c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","Settled","0x884c9cd1657a317967efc86336e0068473467ad8","0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757",,"0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757","0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","500000","0","250000000","1000000000000000000","1000000000000000000"
"YES_OR_NO_QUERY-1754439797-0x713a7469746c653a6574685f313735343433393739342c6465736372697074696f6e3a6574685f313735343433393739342c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","1754439797","YES_OR_NO_QUERY","0x713a7469746c653a6574685f313735343433393739342c6465736372697074696f6e3a6574685f313735343433393739342c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","Settled","0x884c9cd1657a317967efc86336e0068473467ad8","0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757",,"0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757","0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","500000","0","250000000","1000000000000000000","1000000000000000000"
"YES_OR_NO_QUERY-1754486461-0x713a7469746c653a6574685f313735343438363435372c6465736372697074696f6e3a6574685f313735343438363435372c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","1754486461","YES_OR_NO_QUERY","0x713a7469746c653a6574685f313735343438363435372c6465736372697074696f6e3a6574685f313735343438363435372c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","Settled","0x884c9cd1657a317967efc86336e0068473467ad8","0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757",,"0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757","0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","500000","0","250000000","1000000000000000000","1000000000000000000"
"YES_OR_NO_QUERY-1754527455-0x713a7469746c653a6574685f313735343532373435312c6465736372697074696f6e3a6574685f313735343532373435312c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","1754527455","YES_OR_NO_QUERY","0x713a7469746c653a6574685f313735343532373435312c6465736372697074696f6e3a6574685f313735343532373435312c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","Settled","0x884c9cd1657a317967efc86336e0068473467ad8","0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757",,"0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757","0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","500000","0","250000000","1000000000000000000","1000000000000000000"
"YES_OR_NO_QUERY-1754527509-0x713a7469746c653a6274635f313735343532373530362c6465736372697074696f6e3a6274635f313735343532373530362c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","1754527509","YES_OR_NO_QUERY","0x713a7469746c653a6274635f313735343532373530362c6465736372697074696f6e3a6274635f313735343532373530362c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","Settled","0x884c9cd1657a317967efc86336e0068473467ad8","0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757",,"0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757","0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","500000","0","250000000","1000000000000000000","1000000000000000000"
"YES_OR_NO_QUERY-1754611015-0x713a7469746c653a6274635f313735343631313031312c6465736372697074696f6e3a6274635f313735343631313031312c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","1754611015","YES_OR_NO_QUERY","0x713a7469746c653a6274635f313735343631313031312c6465736372697074696f6e3a6274635f313735343631313031312c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","Settled","0x884c9cd1657a317967efc86336e0068473467ad8","0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757",,"0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757","0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","500000","0","250000000","0","0"
